contig00706,0
contig00492,2
contig00548,2
contig00383,0
contig00644,0
contig00151,1
contig00611,1
contig00986,9
contig00357,2
contig00714,0
contig00071,7
contig00170,0
contig00655,0
contig00901,0
contig01163,0
contig00569,12
contig01250,1
contig00536,1
contig00483,2
contig01009,5
contig00701,1
contig00913,0
contig00811,0
contig01360,0
contig00945,10
contig01010,0
contig00370,4
contig00176,1
contig01347,3
contig00458,5
contig00376,2
contig00596,1
contig01103,5
contig01035,2
contig00762,1
contig00396,0
contig00373,1
contig01363,0
contig01134,1
contig01089,1
contig00480,1
contig01345,0
contig00375,7
contig00186,1
contig00625,0
contig01243,19
contig00824,0
contig00958,0
contig00785,0
contig00354,0
contig00032,0
contig01040,1
contig01316,1
contig01142,0
contig00459,1
contig00890,0
contig00226,1
contig00734,5
contig00302,4
contig00213,1
contig01062,3
contig00752,1
contig01116,20
contig00128,2
contig00526,2
contig00962,1
contig00691,0
contig01063,0
contig00440,0
contig01226,4
contig01045,3
contig01344,0
contig00618,0
contig00420,0
contig00210,2
contig00097,0
contig00668,0
contig00730,0
contig01227,0
contig01273,1
contig01202,0
contig00515,0
contig01230,0
contig00239,20
contig01222,1
contig01144,1
contig00351,0
contig00145,4
contig01186,1
contig00461,2
contig01090,1
contig01030,0
contig01189,1
contig00082,0
contig00364,1
contig00472,0
contig00199,0
contig00012,33
contig00879,1
contig01276,1
contig00725,0
contig01075,0
contig01184,2
contig01297,4
contig00996,0
contig01322,3
contig00394,0
contig01262,1
contig01349,0
contig01372,0
contig00053,0
contig00534,2
contig00349,0
contig00930,1
contig00565,2
contig00436,1
contig00198,0
contig01038,1
contig00013,1
contig00254,2
contig01195,1
contig00564,1
contig01338,2
contig00551,10
contig00350,4
contig00521,0
contig00732,0
contig00817,0
contig00576,0
contig00008,10
contig00837,2
contig00496,1
contig01218,0
contig00846,2
contig00361,0
contig00808,1
contig00828,0
contig00477,4
contig01203,0
contig00909,0
contig01266,0
contig01269,1
contig00567,0
contig00955,0
contig00138,0
contig00522,0
contig00503,2
contig00306,7
contig00908,0
contig00603,0
contig00517,2
contig00415,2
contig01087,0
contig00027,0
contig00409,1
contig00872,5
contig00450,1
contig00030,3
contig00745,0
contig00094,0
contig00429,1
contig01124,0
contig00980,4
contig00617,1
contig01289,0
contig00099,0
contig00392,0
contig00064,0
contig00645,2
contig01171,2
contig00834,3
contig00778,1
contig00907,3
contig01358,1
contig00939,1
contig01205,0
contig00158,1
contig00946,0
contig00452,1
contig01011,0
contig01264,4
contig01213,0
contig00208,1
contig00482,0
contig01334,0
contig01094,1
contig00820,3
contig00125,4
contig00107,2
